work_id	creator_id	creator_role	attribution_status	notes
work_candidate_scale4_lit_wenamun	creator_00007	author_or_tradition	incumbent_label	""
work_candidate_avesta	creator_00022	author_or_tradition	incumbent_label	""
work_candidate_gathas_zarathustra	creator_00023	author_or_tradition	incumbent_label	""
work_canon_upanishads	creator_00024	author_or_tradition	incumbent_label	""
work_canon_iliad	creator_00025	author_or_tradition	incumbent_label	""
work_canon_odyssey	creator_00025	author_or_tradition	incumbent_label	""
work_candidate_book_of_isaiah	creator_00026	author_or_tradition	incumbent_label	""
work_candidate_me_lit_book_job	creator_00027	author_or_tradition	incumbent_label	""
work_candidate_book_of_ruth	creator_00028	author_or_tradition	incumbent_label	""
work_candidate_me_lit_ecclesiastes	creator_00029	author_or_tradition	incumbent_label	""
work_candidate_me_lit_exodus	creator_00028	author_or_tradition	incumbent_label	""
work_candidate_me_lit_genesis	creator_00028	author_or_tradition	incumbent_label	""
work_candidate_me_lit_psalms	creator_00030	author_or_tradition	incumbent_label	""
work_candidate_me_lit_song_songs	creator_00030	author_or_tradition	incumbent_label	""
work_canon_theogony	creator_00031	author_or_tradition	incumbent_label	""
work_candidate_bloom_works_and_days	creator_00031	author_or_tradition	incumbent_label	""
work_candidate_book_of_songs	creator_00032	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_archilochus_poems	creator_00033	author_or_tradition	incumbent_label	""
work_candidate_mandatory_homeric_hymns	creator_00034	author_or_tradition	incumbent_label	""
work_canon_aesop_fables_selected	creator_00035	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_sappho_poems	creator_00036	author_or_tradition	incumbent_label	""
work_candidate_sappho_fragments	creator_00036	author_or_tradition	incumbent_label	""
work_candidate_bloom_gap_031_0015_poems	creator_00037	author_or_tradition	incumbent_label	""
work_canon_ramayana	creator_00038	author_or_tradition	incumbent_label	""
work_candidate_me_lit_babylonian_theodicy	creator_00039	author_or_tradition	incumbent_label	""
work_candidate_me_lit_dialogue_pessimism	creator_00040	author_or_tradition	incumbent_label	""
work_candidate_erra_epic	creator_00009	author_or_tradition	incumbent_label	""
work_candidate_me_lit_ludlul	creator_00041	author_or_tradition	incumbent_label	""
work_canon_analects	creator_00042	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_persians	creator_00043	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_suppliants_aeschylus	creator_00043	author_or_tradition	incumbent_label	""
work_candidate_bloom_seven_against_thebes	creator_00043	author_or_tradition	incumbent_label	""
work_canon_oresteia	creator_00043	author_or_tradition	incumbent_label	""
work_candidate_bloom_sophocles_ajax	creator_00044	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_cyclops	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_pindar_odes	creator_00046	author_or_tradition	incumbent_label	""
work_candidate_bloom_prometheus_bound	creator_00043	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_trachiniae	creator_00044	author_or_tradition	incumbent_label	""
work_canon_antigone_sophocles	creator_00044	author_or_tradition	incumbent_label	""
work_candidate_bloom_euripides_alcestis	creator_00045	author_or_tradition	incumbent_label	""
work_canon_peloponnesian_war_thucydides	creator_00047	author_or_tradition	incumbent_label	""
work_candidate_medea_euripides	creator_00045	author_or_tradition	incumbent_label	""
work_canon_histories_herodotus	creator_00048	author_or_tradition	incumbent_label	""
work_canon_oedipus_tyrannus	creator_00044	author_or_tradition	incumbent_label	""
work_candidate_bloom_euripides_hippolytus	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_andromache	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_hecuba	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_knights	creator_00049	author_or_tradition	incumbent_label	""
work_candidate_bloom_aristophanes_clouds	creator_00049	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_wasps	creator_00049	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_heracles	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_mandatory_euripides_trojan_women	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_ion	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_aristophanes_birds	creator_00049	author_or_tradition	incumbent_label	""
work_candidate_bloom_euripides_helen	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_lysistrata	creator_00049	author_or_tradition	incumbent_label	""
work_candidate_bloom_sophocles_electra	creator_00044	author_or_tradition	incumbent_label	""
work_candidate_bloom_sophocles_philoctetes	creator_00044	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_orestes	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_euripides_bacchae_performance	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_iphigenia_aulis	creator_00045	author_or_tradition	incumbent_label	""
work_candidate_bloom_aristophanes_frogs	creator_00049	author_or_tradition	incumbent_label	""
work_candidate_bloom_oedipus_colonus	creator_00044	author_or_tradition	incumbent_label	""
work_canon_mahabharata	creator_00038	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_assemblywomen	creator_00049	author_or_tradition	incumbent_label	""
work_candidate_mandatory_plato_symposium	creator_00050	author_or_tradition	incumbent_label	""
work_canon_dao_de_jing	creator_00051	author_or_tradition	incumbent_label	""
work_candidate_bloom_menander_girl_samos	creator_00052	author_or_tradition	incumbent_label	""
work_canon_poetics_aristotle	creator_00053	author_or_tradition	incumbent_label	""
work_canon_zhuangzi	creator_00054	author_or_tradition	incumbent_label	""
work_candidate_mandatory_mencius	creator_00055	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_dyskolos	creator_00052	author_or_tradition	incumbent_label	""
work_candidate_dhammapada	creator_00056	author_or_tradition	incumbent_label	""
work_candidate_acaranga_sutra	creator_00057	author_or_tradition	incumbent_label	""
work_candidate_me_lit_book_esther	creator_00028	author_or_tradition	incumbent_label	""
work_candidate_me_lit_book_jonah	creator_00028	author_or_tradition	incumbent_label	""
work_candidate_kalpa_sutra_jain	creator_00058	author_or_tradition	incumbent_label	""
work_candidate_samayasara	creator_00059	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_uttaradhyayana_sutra	creator_00060	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_vessantara_jataka	creator_00061	author_or_tradition	incumbent_label	""
work_candidate_mandatory_zuo_zhuan	creator_00062	author_or_tradition	incumbent_label	""
work_candidate_mandatory_shanhaijing	creator_00063	author_or_tradition	incumbent_label	""
work_candidate_panchatantra	creator_00064	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_argonautica	creator_00065	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_callimachus_hymns	creator_00066	author_or_tradition	incumbent_label	""
work_candidate_bloom_theocritus_idylls	creator_00067	author_or_tradition	incumbent_label	""
work_candidate_global_lit_therigatha	creator_00068	author_or_tradition	incumbent_label	""
work_canon_bhagavad_gita	creator_00069	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_greek_anthology	creator_00070	author_or_tradition	incumbent_label	""
work_candidate_mandatory_theragatha	creator_00071	author_or_tradition	incumbent_label	""
work_candidate_bloom_plautus_pseudolus	creator_00072	author_or_tradition	incumbent_label	""
work_candidate_bloom_plautus_amphitryon	creator_00072	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_andria	creator_00073	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_hecyra	creator_00073	author_or_tradition	incumbent_label	""
work_candidate_bloom_terence_eunuch	creator_00073	author_or_tradition	incumbent_label	""
work_candidate_chu_ci	creator_00074	author_or_tradition	incumbent_label	""
work_candidate_me_lit_ben_sira	creator_00075	author_or_tradition	incumbent_label	""
work_candidate_me_lit_book_daniel	creator_00076	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_miles_gloriosus	creator_00072	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_rudens	creator_00072	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_yuefu_songs	creator_00077	author_or_tradition	incumbent_label	""
work_candidate_mandatory_natyashastra	creator_00078	author_or_tradition	incumbent_label	""
work_candidate_wave001_cicero_selected_orations_letters	creator_00079	author_or_tradition	incumbent_label	""
work_candidate_bloom_gap_031_0070_on_the_nature_of_things	creator_00080	author_or_tradition	incumbent_label	""
work_candidate_shiji	creator_00081	author_or_tradition	incumbent_label	""
work_candidate_tirukkural	creator_00082	author_or_tradition	incumbent_label	""
work_candidate_me_lit_book_enoch	creator_00083	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_horace_epistles	creator_00084	author_or_tradition	incumbent_label	""
work_candidate_bloom_catullus_poems	creator_00085	author_or_tradition	incumbent_label	""
work_candidate_bloom_reviewed_horace_satires	creator_00084	author_or_tradition	incumbent_label	""
work_candidate_me_lit_wisdom_solomon	creator_00086	author_or_tradition	incumbent_label	""
work_candidate_bloom_virgil_eclogues	creator_00087	author_or_tradition	incumbent_label	""
work_candidate_bloom_virgil_georgics	creator_00087	author_or_tradition	incumbent_label	""
work_candidate_bloom_horace_odes	creator_00084	author_or_tradition	incumbent_label	""
work_canon_aeneid	creator_00087	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_ovid_amores	creator_00088	author_or_tradition	incumbent_label	""
work_candidate_bloom_ovid_heroides	creator_00088	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_art_of_love	creator_00088	author_or_tradition	incumbent_label	""
work_candidate_metamorphoses_ovid	creator_00088	author_or_tradition	incumbent_label	""
work_candidate_poetic_edda	creator_00089	author_or_tradition	incumbent_label	""
work_canon_new_testament	creator_00090	author_or_tradition	incumbent_label	""
work_candidate_bloom_martial_epigrams	creator_00091	author_or_tradition	incumbent_label	""
work_candidate_wave001_seneca_letters_to_lucilius	creator_00092	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_pharsalia	creator_00093	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_persius_satires	creator_00094	author_or_tradition	incumbent_label	""
work_canon_satyricon_petronius	creator_00095	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_statius_thebaid	creator_00096	author_or_tradition	incumbent_label	""
work_candidate_gospel_of_thomas	creator_00097	author_or_tradition	incumbent_label	""
work_candidate_scale4_lit_story_ahiqar	creator_00098	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_avadanasataka	creator_00099	author_or_tradition	incumbent_label	""
work_candidate_global_lit_buddhacarita	creator_00100	author_or_tradition	incumbent_label	""
work_candidate_global_lit_gaha_sattasai	creator_00101	author_or_tradition	incumbent_label	""
work_candidate_lotus_sutra	creator_00102	author_or_tradition	incumbent_label	""
work_candidate_global_lit_nineteen_old_poems	creator_00103	author_or_tradition	incumbent_label	""
work_candidate_global_lit_odes_solomon	creator_00104	author_or_tradition	incumbent_label	""
work_candidate_bloom_juvenal_satires	creator_00105	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_saundarananda	creator_00100	author_or_tradition	incumbent_label	""
work_candidate_golden_ass_apuleius	creator_00106	author_or_tradition	incumbent_label	""
work_canon_daphnis_and_chloe	creator_00107	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_ainkurunuru	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_global_lit_akananuru	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_global_lit_hymn_pearl	creator_00109	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_kalittokai	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_global_lit_kurunthokai	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_lalitavistara	creator_00110	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_natrinai	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_pathitrupathu	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_pirkei_avot	creator_00111	author_or_tradition	incumbent_label	""
work_candidate_global_lit_purananuru	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_cao_cao_poems	creator_00112	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_cao_zhi_poems	creator_00113	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_ruan_ji_poems	creator_00114	author_or_tradition	incumbent_label	""
work_candidate_mricchakatika_sanskrit_theater	creator_00115	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_svapnavasavadatta	creator_00116	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_aethiopica	creator_00117	author_or_tradition	incumbent_label	""
work_candidate_scale4_lit_ephrem_hymns_paradise	creator_00118	author_or_tradition	incumbent_label	""
work_candidate_soushen_ji	creator_00119	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_jatakamala	creator_00120	author_or_tradition	incumbent_label	""
work_candidate_confessions_augustine	creator_00121	author_or_tradition	incumbent_label	""
work_canon_recognition_of_shakuntala	creator_00122	author_or_tradition	incumbent_label	""
work_candidate_mandatory_psychomachia	creator_00123	author_or_tradition	incumbent_label	""
work_candidate_peach_blossom_spring	creator_00124	author_or_tradition	incumbent_label	""
work_candidate_meghaduta	creator_00122	author_or_tradition	incumbent_label	""
work_candidate_me_lit_midrach_rabbah	creator_00125	author_or_tradition	incumbent_label	""
work_candidate_global_lit_kumarasambhava	creator_00122	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_naladiyar	creator_00126	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_pattuppattu	creator_00127	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_paumacariya	creator_00128	author_or_tradition	incumbent_label	""
work_candidate_global_lit_raghuvamsa	creator_00122	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_bao_zhao_poems	creator_00129	author_or_tradition	incumbent_label	""
work_candidate_global_lit_tao_yuanming_poems	creator_00124	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_xie_lingyun_poems	creator_00130	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_setubandha	creator_00131	author_or_tradition	incumbent_label	""
work_candidate_mandatory_dionysiaca	creator_00132	author_or_tradition	incumbent_label	""
work_candidate_scale4_lit_julian_romance	creator_00133	author_or_tradition	incumbent_label	""
work_candidate_mandatory_consolation_philosophy	creator_00134	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_kiratarjuniya	creator_00135	author_or_tradition	incumbent_label	""
work_candidate_manimekalai	creator_00136	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_jade_terrace	creator_00137	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_paripadal	creator_00108	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_imru_al_qays_diwan	creator_00138	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_yu_xin_poems	creator_00139	author_or_tradition	incumbent_label	""
work_candidate_silappatikaram	creator_00140	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_wen_xuan	creator_00141	author_or_tradition	incumbent_label	""
work_canon_quran	creator_00142	author_or_tradition	incumbent_label	""
work_candidate_muallaqat	creator_00143	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_amarushataka	creator_00144	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_harshacharita	creator_00145	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_kadambari	creator_00145	author_or_tradition	incumbent_label	""
work_candidate_global_lit_ratnavali	creator_00146	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_bhartrihari_satakas	creator_00147	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_shishupala_vadha	creator_00148	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_bhattikavya	creator_00149	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_subandhu_vasavadatta	creator_00150	author_or_tradition	incumbent_label	""
work_candidate_devi_mahatmya	creator_00151	author_or_tradition	incumbent_label	""
work_candidate_diamond_sutra	creator_00152	author_or_tradition	incumbent_label	""
work_candidate_heart_sutra	creator_00152	author_or_tradition	incumbent_label	""
work_candidate_vimalakirti_sutra	creator_00153	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_muttollayiram	creator_00154	author_or_tradition	incumbent_label	""
work_candidate_mandatory_kojiki	creator_00155	author_or_tradition	incumbent_label	""
work_candidate_nihon_shoki_mythic_books	creator_00156	author_or_tradition	incumbent_label	""
work_candidate_me_lit_mufaddaliyat	creator_00157	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_han_shan_poems	creator_00158	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_dasakumaracarita	creator_00159	author_or_tradition	incumbent_label	""
work_candidate_global_lit_kalila_wa_dimna	creator_00160	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_mudrarakshasa_duplicate_guard	creator_00161	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_mudrarakshasa	creator_00162	author_or_tradition	incumbent_label	""
work_candidate_global_lit_wang_wei_poems	creator_00163	author_or_tradition	incumbent_label	""
work_candidate_du_fu_selected_poems	creator_00164	author_or_tradition	incumbent_label	""
work_candidate_li_bai_selected_poems	creator_00165	author_or_tradition	incumbent_label	""
work_candidate_global_lit_tevaram	creator_00166	author_or_tradition	incumbent_label	""
work_candidate_global_lit_uttararama_charita	creator_00161	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_lilavai	creator_00167	author_or_tradition	incumbent_label	""
work_candidate_mandatory_bodhicaryavatara	creator_00168	author_or_tradition	incumbent_label	""
work_candidate_manyoshu	creator_00169	author_or_tradition	incumbent_label	""
work_canon_beowulf	creator_00170	author_or_tradition	incumbent_label	""
work_candidate_mandatory_dream_of_rood	creator_00171	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_song_everlasting_sorrow	creator_00172	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_nihon_ryoiki	creator_00173	author_or_tradition	incumbent_label	""
work_candidate_sahih_al_bukhari_selected	creator_00174	author_or_tradition	incumbent_label	""
work_candidate_me_lit_hamasa	creator_00175	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_nalayira_divya_prabandham	creator_00176	author_or_tradition	incumbent_label	""
work_candidate_sahih_muslim_selected	creator_00177	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_andal_poems	creator_00178	author_or_tradition	incumbent_label	""
work_candidate_global_lit_abu_nuwas_poems	creator_00179	author_or_tradition	incumbent_label	""
work_candidate_wave005_al_khansa_elegies	creator_00180	author_or_tradition	incumbent_label	""
work_candidate_me_lit_abu_tammam_poems	creator_00181	author_or_tradition	incumbent_label	""
work_candidate_wave001_tolkappiyam	creator_00182	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_bai_juyi_poems	creator_00172	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_du_mu_poems	creator_00183	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_li_shangyin_poems	creator_00184	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_tang_tales	creator_00185	author_or_tradition	incumbent_label	""
work_candidate_global_lit_book_of_misers	creator_00186	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_yingying_biography	creator_00187	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_li_wa_zhuan	creator_00188	author_or_tradition	incumbent_label	""
work_candidate_tiruvacakam	creator_00189	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_kavirajamarga	creator_00190	author_or_tradition	incumbent_label	""
work_candidate_kokinshu	creator_00191	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_tosa_diary	creator_00192	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_vikramarjuna_vijaya	creator_00193	author_or_tradition	incumbent_label	""
work_candidate_global_lit_mutanabbi_poems	creator_00194	author_or_tradition	incumbent_label	""
work_candidate_tale_of_bamboo_cutter	creator_00195	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_bhagavata_purana	creator_00196	author_or_tradition	incumbent_label	""
work_candidate_wave005_jahiz_animals	creator_00186	author_or_tradition	incumbent_label	""
work_candidate_kakawin_ramayana	creator_00197	author_or_tradition	incumbent_label	""
work_candidate_maqamat_al_hamadhani	creator_00198	author_or_tradition	incumbent_label	""
work_candidate_me_lit_rudaki_poems	creator_00199	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_kagero_diary	creator_00200	author_or_tradition	incumbent_label	""
work_candidate_global_lit_ise_monogatari	creator_00201	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_vaddaradhane	creator_00202	author_or_tradition	incumbent_label	""
work_candidate_me_lit_daqiqi_gushtasp	creator_00203	author_or_tradition	incumbent_label	""
work_candidate_mandatory_kitab_al_aghani	creator_00204	author_or_tradition	incumbent_label	""
work_candidate_mandatory_old_english_elegies	creator_00170	author_or_tradition	incumbent_label	""
work_canon_pillow_book_sei_shonagon	creator_00205	author_or_tradition	incumbent_label	""
work_candidate_global_lit_book_lamentations_narek	creator_00206	author_or_tradition	incumbent_label	""
work_canon_tale_of_genji	creator_00207	author_or_tradition	incumbent_label	""
work_candidate_shahnameh	creator_00208	author_or_tradition	incumbent_label	""
work_candidate_global_lit_ring_of_dove	creator_00209	author_or_tradition	incumbent_label	""
work_candidate_song_of_roland	creator_00210	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_eiga_monogatari	creator_00201	author_or_tradition	incumbent_label	""
work_candidate_me_lit_garshaspnama	creator_00211	author_or_tradition	incumbent_label	""
work_candidate_global_lit_kathasaritsagara	creator_00212	author_or_tradition	incumbent_label	""
work_candidate_me_lit_keter_malkhut	creator_00213	author_or_tradition	incumbent_label	""
work_candidate_global_lit_luzumiyat	creator_00214	author_or_tradition	incumbent_label	""
work_candidate_me_lit_baba_taher_quatrains	creator_00215	author_or_tradition	incumbent_label	""
work_candidate_risalat_al_ghufran	creator_00216	author_or_tradition	incumbent_label	""
work_candidate_me_lit_nasir_khusraw_safarnama	creator_00217	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_su_shi_poems	creator_00218	author_or_tradition	incumbent_label	""
work_candidate_me_lit_nasir_khusraw_poems	creator_00217	author_or_tradition	incumbent_label	""
work_candidate_me_lit_ibn_zaydun_poems	creator_00219	author_or_tradition	incumbent_label	""
work_candidate_me_lit_shmuel_hanagid_poems	creator_00220	author_or_tradition	incumbent_label	""
work_candidate_me_lit_ibn_gabirol_poems	creator_00213	author_or_tradition	incumbent_label	""
work_candidate_global_lit_vis_and_ramin	creator_00221	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_bilhana_chaurapanchasika	creator_00222	author_or_tradition	incumbent_label	""
work_candidate_wave005_izumi_shikibu_diary	creator_00223	author_or_tradition	incumbent_label	""
work_candidate_mandatory_hitopadesha	creator_00064	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_sarashina_diary	creator_00224	author_or_tradition	incumbent_label	""
work_candidate_kutadgu_bilig	creator_00225	author_or_tradition	incumbent_label	""
work_candidate_mandatory_digenes_akritas	creator_00226	author_or_tradition	incumbent_label	""
work_candidate_global_lit_khamsa_nizami	creator_00227	author_or_tradition	incumbent_label	""
work_candidate_conference_of_birds	creator_00228	author_or_tradition	incumbent_label	""
work_candidate_global_lit_knight_panther_skin	creator_00229	author_or_tradition	incumbent_label	""
work_candidate_global_lit_charyapada	creator_00230	author_or_tradition	incumbent_label	""
work_candidate_me_lit_nizami_eskandarnameh	creator_00227	author_or_tradition	incumbent_label	""
work_candidate_gita_govinda	creator_00231	author_or_tradition	incumbent_label	""
work_candidate_hayy_ibn_yaqzan	creator_00232	author_or_tradition	incumbent_label	""
work_candidate_wave005_tawhidi_delight_conviviality	creator_00233	author_or_tradition	incumbent_label	""
work_candidate_khosrow_and_shirin_nizami	creator_00227	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_konjaku_monogatari	creator_00234	author_or_tradition	incumbent_label	""
work_candidate_lais_marie_de_france	creator_00235	author_or_tradition	incumbent_label	""
work_candidate_layla_and_majnun_nizami	creator_00227	author_or_tradition	incumbent_label	""
work_candidate_me_lit_nizami_makhzan	creator_00227	author_or_tradition	incumbent_label	""
work_candidate_maqamat_al_hariri	creator_00236	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_naishadhiyacharita	creator_00237	author_or_tradition	incumbent_label	""
work_candidate_scale_lit_periyapuranam	creator_00238	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_rajatarangini	creator_00239	author_or_tradition	incumbent_label	""
work_candidate_global_lit_kamba_ramayanam	creator_00240	author_or_tradition	incumbent_label	""
work_candidate_rubaiyat_omar_khayyam	creator_00241	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_xin_qiji_ci	creator_00242	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_li_qingzhao_ci	creator_00243	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_lu_you_poems	creator_00244	author_or_tradition	incumbent_label	""
work_candidate_me_lit_yehuda_halevi_poems	creator_00245	author_or_tradition	incumbent_label	""
work_candidate_me_lit_usama_contemplation	creator_00246	author_or_tradition	incumbent_label	""
work_candidate_me_lit_ibn_jubayr_rihla	creator_00247	author_or_tradition	incumbent_label	""
work_candidate_global_lit_walled_garden_truth	creator_00248	author_or_tradition	incumbent_label	""
work_candidate_eastasia_lit_torikaebaya	creator_00249	author_or_tradition	incumbent_label	""
work_candidate_southasia_lit_vachanas	creator_00250	author_or_tradition	incumbent_label	""
