bucket	count
lyric_essay_collection	1
lyric_poem	1
lyric_poetry_sequence	1
lyric_wisdom_poetry	1
lyrical_drama	1
manuscript_chronicle	1
mathematical_fiction	1
maxim_collection	1
metrical_romance	1
midrashic_anthology	1
modernist_novel	1
monastic_scripture	1
mystical_narrative_poem	1
mystical_poetry_collection	1
myth_cycle	1
mythic_cycle	1
mythic_dynastic_saga	1
mythic_epic	1
mythic_historical_poem	1
mythic_novel	1
mythic_prose_collection	1
mythic_ritual_narrative_collection	1
mythic_tale	1
mythic_tale_collection	1
mythographic_prose	1
mythographic_text	1
mythopoeic_collection	1
narrative_poem_collection	1
narrative_poem_cycle	1
narrative_scripture	1
national_epic	1
nonfiction_novel	1
nonsense_poem	1
nonsense_poetry_collection	1
novel_memoir	1
novel_trilogy	1
novella_collection	1
novella_pair	1
oral_literary_selection	1
oral_myth_selection	1
oral_narrative_cycle	1
oratory_and_letters_selection	1
ornate_prose_biography	1
philosophical_letters	1
picaresque_novel	1
picture_book	1
play_and_novel	1
play_collection	1
play_trilogy	1
poem_cycle	1
poem_tale_sequence	1
poetic_memoir	1
poetics_and_grammar_text	1
poetics_and_poetry	1
poetry_prose_collection	1
poetry_prose_sequence	1
political_satire	1
popular_epic	1
praise_poetry_anthology	1
praise_poetry_selection	1
prakrit_court_poem	1
prakrit_romance_poem	1
prose_collection	1
prose_narrative	1
prose_poem_novel	1
prose_poetry	1
prose_satire_cycle	1
prosimetrum	1
prosimetrum_collection	1
proto_science_fiction	1
puppet_theater_play	1
quatrain_collection	1
radio_play	1
reflective_prose	1
ritual_biographical_scripture	1
romance_cycle	1
romance_novel	1
romance_poem_cycle	1
romance_prose	1
sacred_biographical_narrative	1
sacred_literary_text	1
sanskrit_play	1
satirical_novella	1
satirical_poem	1
satirical_prose_fiction	1
satirical_prose_work	1
satirical_story_cycle	1
satyr_play	1
sayings_gospel	1
science_fiction_novel	1
scriptural_poetry_and_prose	1
sentimental_romance	1
setsuwa_collection	1
short_prose_cycle	1
slave_narrative	1
song_poetry_collection	1
spiritual_autobiography	1
spiritual_biography	1
spy_novel	1
spy_thriller	1
story_memoir_collection	1
story_sketch_collection	1
sufi_poem	1
sufi_romance_poem	1
supernatural_tale_collection	1
surrealist_prose	1
tale_cycle	1
testimonial_novel	1
theological_autobiography	1
travel_novel	1
travel_satire	1
travel_tale	1
tribal_history_literary_prose	1
trickster_tale_selection	1
unfinished_novel	1
utopian_prose	1
utopian_romance	1
utopian_satire	1
verse_drama	1
verse_epic	1
verse_lament	1
verse_letters	1
verse_memoir	1
verse_narrative	1
verse_play	1
verse_prose_narrative	1
verse_satire	1
verse_scripture	1
verse_tale	1
visionary_prose	1
wisdom_dialogue	1
wisdom_poem	1
wisdom_poetry	1
wisdom_tale	1
wordless_graphic_narrative	1
work	1
